Survey Years,Sex,Age Group,Race and Hispanic Origin,Infectious Disease,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Notea
1999-2000,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.5,1.1,60.0,64.9,,,
1999-2000,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),55.4,1.7,51.5,59.2,,,
1999-2000,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.7,3.1,63.4,77.3,,,
1999-2000,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
1999-2000,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
1999-2000,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),85.6,1.8,81.0,89.4,,,
1999-2000,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),58.8,1.8,54.8,62.6,,,
1999-2000,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.9,1.9,59.6,68.0,,,
1999-2000,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),64.6,1.6,60.8,68.2,,,
1999-2000,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),64.2,1.3,61.3,66.9,,,
1999-2000,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),61.7,3.6,53.5,69.5,,,
1999-2000,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.1,2.4,56.8,67.2,,,
1999-2000,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),68.9,1.8,63.7,73.7,,,
1999-2000,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.7,1.3,57.5,63.9,,,
1999-2000,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),55.8,1.9,50.0,61.5,,,
1999-2000,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),65.8,2.5,60.2,71.1,,,
1999-2000,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.8,3.1,52.9,66.5,,,
2001-2002,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.5,1.7,57.8,65.2,,,
2001-2002,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),54.3,2.4,49.0,59.5,,,
2001-2002,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.0,2.7,63.9,75.7,,,
2001-2002,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2001-2002,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2001-2002,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),84.2,2.1,79.0,88.6,,,
2001-2002,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),53.6,2.6,47.9,59.3,,,
2001-2002,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),64.8,2.3,59.7,69.7,,,
2001-2002,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.3,2.6,59.4,71.0,,,
2001-2002,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.7,1.6,59.1,66.2,,,
2001-2002,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),57.6,2.6,51.8,63.2,,,
2001-2002,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),65.4,2.8,59.1,71.2,,,
2001-2002,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.1,3.2,57.9,71.8,,,
2001-2002,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.2,2.5,54.7,65.6,,,
2001-2002,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),49.1,3.6,41.2,57.0,,,
2001-2002,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),64.2,3.8,55.6,72.3,,,
2001-2002,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.6,4.1,56.1,74.2,,,
2003-2004,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.8,1.9,55.6,63.9,,,
2003-2004,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),52.6,2.3,47.5,57.7,,,
2003-2004,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.2,3.9,60.9,78.4,,,
2003-2004,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),83.9,2.3,78.1,88.7,,,
2003-2004,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.1,2.2,46.3,56.0,,,
2003-2004,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),61.7,3.0,55.1,68.1,,,
2003-2004,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.5,2.3,60.4,70.3,,,
2003-2004,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.9,2.2,57.1,66.6,,,
2003-2004,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.9,3.2,44.9,58.9,,,
2003-2004,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.2,2.9,56.7,69.3,,,
2003-2004,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),68.9,2.4,63.5,73.9,,,
2003-2004,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),57.7,2.1,53.0,62.2,,,
2003-2004,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),50.4,2.6,44.7,56.2,,,
2003-2004,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),60.3,3.9,51.5,68.6,,,
2003-2004,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.8,3.1,54.7,68.5,,,
2005-2006,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.6,1.8,54.8,62.4,,,
2005-2006,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),51.6,2.1,47.0,56.3,,,
2005-2006,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),62.8,2.2,57.8,67.5,,,
2005-2006,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),86.8,1.4,83.6,89.6,,,
2005-2006,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.5,2.6,45.8,57.2,,,
2005-2006,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.6,2.2,57.6,67.5,,,
2005-2006,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.0,2.5,55.5,66.3,,,
2005-2006,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.4,2.1,53.9,62.9,,,
2005-2006,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.6,2.7,45.7,57.4,,,
2005-2006,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.1,3.3,55.6,70.2,,,
2005-2006,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.9,2.6,54.1,65.5,,,
2005-2006,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.8,2.2,53.9,63.6,,,
2005-2006,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.5,3.3,44.4,58.6,,,
2005-2006,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.2,3.6,54.0,69.8,,,
2005-2006,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.0,3.9,53.1,70.4,,,
2007-2008,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.2,2.6,54.6,65.7,,,
2007-2008,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),54.5,3.6,46.5,62.3,,,
2007-2008,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),63.4,2.4,57.9,68.6,,,
