Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2021†","Shigellosis, Cum 2021†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEW ENGLAND,2021,1,,-,1,,,-,,-,1,,12,,1,,7,,,-,11,,,-,9,,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,1,,-,1,,,-,,-,1,,6,,1,,4,,,-,7,,,-,6,,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,4,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
VERMONT,2021,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,3,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,,-,0,,,-,,-,3,,48,,3,,8,,6,,47,,6,,38,,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,0,,,-,,-,2,,21,,2,,,-,,-,9,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
NEW YORK CITY,2021,1,,-,0,,,-,,-,,-,20,,,-,5,,4,,28,,4,,21,,,NEW YORK CITY,20210112,
EAST NORTH CENTRAL,2021,1,,-,0,,,-,,-,,-,44,,,-,33,,,-,31,,,-,23,,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,3,,,-,1,,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,0,,,-,,-,,-,5,,,-,2,,,-,6,,,-,5,,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
WISCONSIN,2021,1,,-,0,,,-,,-,,-,14,,,-,11,,,-,6,,,-,1,,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,2,,,-,,-,,-,45,,,-,12,,,-,10,,,-,11,,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,0,,,-,,-,,-,23,,,-,5,,,-,5,,,-,3,,IOWA,,20210121,POINT (-93.500061 42.074659)
MINNESOTA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153)
MISSOURI,2021,1,,-,2,,,-,,-,,-,10,,,-,3,,,-,4,,,-,1,,MISSOURI,,20210124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2021,1,,-,2,,,-,,-,,-,5,,,-,,-,,-,2,,,-,5,,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305)
DELAWARE,2021,1,,-,0,,,-,,-,,-,3,,,-,1,,1,,2,,1,,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926)
NORTH CAROLINA,2021,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,11,,,-,14,,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2021,1,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,1,,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572)
VIRGINIA,2021,1,,-,0,,,-,,-,3,,9,,3,,,-,2,,6,,2,,,-,VIRGINIA,,20210136,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2021,1,,-,0,,,-,,-,,-,18,,,-,4,,,-,40,,,-,29,,,EAST SOUTH CENTRAL,20210138,
MISSISSIPPI,2021,1,,-,0,,,-,,-,,-,3,,,-,2,,,-,5,,,-,3,,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378)
TENNESSEE,2021,1,,-,0,,,-,,-,,-,13,,,-,1,,,-,7,,,-,3,,TENNESSEE,,20210142,POINT (-86.343226 35.842998)
ARKANSAS,2021,1,,-,0,,,-,,-,,-,7,,,-,,-,1,,5,,1,,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825)
LOUISIANA,2021,1,,-,0,,,-,,-,,-,4,,,-,2,,2,,16,,2,,10,,LOUISIANA,,20210145,POINT (-91.840238 30.921314)
OKLAHOMA,2021,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,11,,,-,1,,OKLAHOMA,,20210146,POINT (-97.508297 35.583449)
TEXAS,2021,1,,-,0,,,-,,-,,-,19,,,-,1,,,-,91,,,-,15,,TEXAS,,20210147,POINT (-99.317341 31.447238)
MOUNTAIN,2021,1,,-,3,,,-,,-,4,,32,,4,,16,,5,,25,,5,,17,,,MOUNTAIN,20210148,
COLORADO,2021,1,,-,3,,,-,,-,2,,14,,2,,6,,2,,17,,2,,5,,COLORADO,,20210150,POINT (-105.547832 38.998552)
IDAHO,2021,1,,-,0,,,-,,-,,-,9,,,-,1,,,-,2,,,-,,-,IDAHO,,20210151,POINT (-114.659366 44.389073)
MONTANA,2021,1,,-,0,,,-,,-,,-,5,,,-,1,,,-,2,,,-,1,,MONTANA,,20210152,POINT (-109.645127 47.033521)
NEVADA,2021,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,3,,,-,1,,NEVADA,,20210153,POINT (-114.916992 39.283294)
UTAH,2021,1,,-,0,,,-,,-,,-,15,,,-,1,,1,,3,,1,,1,,UTAH,,20210155,POINT (-111.678222 39.323779)
PACIFIC,2021,1,,-,1,,,-,,-,,-,47,,,-,56,,4,,84,,4,,47,,,PACIFIC,20210157,
ALASKA,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,ALASKA,,20210158,POINT (-151.631889 63.631126)
HAWAII,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,3,,,-,1,,HAWAII,,20210160,POINT (-157.854309 21.361013)
OREGON,2021,1,,-,1,,,-,,-,,-,11,,,-,8,,2,,23,,2,,1,,OREGON,,20210161,POINT (-120.605279 43.940449)
WASHINGTON,2021,1,,-,0,,,-,,-,,-,9,,,-,5,,2,,14,,2,,9,,WASHINGTON,,20210162,POINT (-120.592492 47.411715)
US TERRITORIES,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210163,
AMERICAN SAMOA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210164,
NORTHERN MARIANA ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210165,POINT (145.725693 15.1834)
GUAM,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210166,POINT (144.653198 13.3532)
PUERTO RICO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210167,POINT (-66.414655 18.215692)
US RESIDENTS,2021,1,,-,4,,,-,,-,11,,221,,11,,161,,21,,336,,21,,231,,,US RESIDENTS,20210101,
CONNECTICUT,2021,1,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,3,,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
NEW JERSEY,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,10,,,-,8,,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
PENNSYLVANIA,2021,1,,-,0,,,-,,-,1,,13,,1,,3,,2,,11,,2,,9,,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
ILLINOIS,2021,1,,-,0,,,-,,-,,-,14,,,-,11,,,-,15,,,-,8,,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
OHIO,2021,1,,-,0,,,-,,-,,-,21,,,-,6,,,-,10,,,-,8,,OHIO,,20210118,POINT (-82.70936 40.415534)
KANSAS,2021,1,,-,0,,,-,,-,,-,8,,,-,2,,,-,1,,,-,1,,KANSAS,,20210122,POINT (-98.38018 38.484729)
NEBRASKA,2021,1,,-,0,,,-,,-,,-,11,,,-,1,,,-,4,,,-,1,,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
SOUTH DAKOTA,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2021,1,,-,0,,,-,,-,3,,42,,3,,21,,3,,58,,3,,31,,,SOUTH ATLANTIC,20210128,
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
